trial id,max seq. len.,batch size,learning rate,init. epoch,epochs,train loss,valid loss,train accuracy,valid accuracy
0000,64,240,1e-05,0,2,0.41336894035339355,0.30938369035720825,0.8667883276939392,0.8927202820777893
0001,128,240,3e-05,0,2,0.2358807623386383,0.24304522573947906,0.9191606044769287,0.9124247431755066
0002,64,120,2e-05,0,2,0.4454020857810974,0.26797959208488464,0.81094890832901,0.9009304642677307
0003,320,16,3e-05,0,2,0.2982768416404724,0.2636876404285431,0.8790146112442017,0.8987411260604858
0004,384,6,1e-05,0,2,0.16734278202056885,0.250750333070755,0.9432481527328491,0.9069513082504272
0005,64,64,2e-05,0,2,0.1962844282388687,0.2364020049571991,0.9317518472671509,0.912972092628479
0006,64,64,2e-05,2,3,0.4101010859012604,0.24783091247081757,0.8062043786048889,0.9096879959106445
0007,128,240,3e-05,2,3,0.5427819490432739,0.31295540928840637,0.7547445297241211,0.8932676315307617
0008,384,6,1e-05,2,3,0.31137046217918396,0.24206596612930298,0.8740875720977783,0.9069513082504272
0009,64,64,2e-05,3,5,0.19577337801456451,0.23905494809150696,0.93284672498703,0.9146141409873962
0010,384,6,1e-05,3,5,0.16720297932624817,0.2646957039833069,0.9436131119728088,0.9036672115325928
0011,384,16,3e-05,0,3,0.15735073387622833,0.28825643658638,0.9472627639770508,0.8998358249664307
0012,64,64,5e-05,0,3,0.33260077238082886,0.23446808755397797,0.8594890236854553,0.9189928770065308
0013,64,12,1e-05,0,3,0.320466548204422,0.24602419137954712,0.8739051222801208,0.9085932970046997
0014,128,64,3e-05,0,3,0.18913692235946655,0.2453204244375229,0.9339416027069092,0.912972092628479
0015,64,64,5e-05,3,5,0.32926520705223083,0.2293681651353836,0.8538321256637573,0.9162561297416687
0016,128,64,3e-05,3,5,0.37396520376205444,0.23500534892082214,0.8470802903175354,0.9195402264595032
0017,384,12,2e-05,0,5,0.1649853140115738,0.2728973627090454,0.9454379677772522,0.894909679889679
0018,256,240,5e-05,0,5,0.20924459397792816,0.23676960170269012,0.9286496639251709,0.9124247431755066
0019,320,64,5e-05,0,5,0.33246666193008423,0.2327413707971573,0.860948920249939,0.9151614904403687
0020,512,14,5e-05,0,5,0.09261457622051239,0.3858537971973419,0.9673357605934143,0.8894362449645996
